"","Group","Own_at_least_1_cow","Income_in_2012","Maize_acres","Own_a_Solar_Light","Number_of_Bags_in_Storage_2012","Amount_of_Money_in_Savings_2012","Number_of_Bags_in_Storage_2013","Amount_of_Money_in_Savings_2013"
"Group",1,-0.00999151082216968,0.046345068169967,0.00637508689850527,0.0184931680363827,0.0151352020698131,-0.01011819264208,0.292984019474844,0.127837781453594
"Own_at_least_1_cow",-0.00999151082216968,1,0.531138213512405,0.248895049603922,0.442904928506414,0.249871688121478,-0.0531824592808272,0.237203855005296,-0.0331221212058327
"Income_in_2012",0.046345068169967,0.531138213512405,1,0.653396528702182,0.855554976225493,0.38464811500533,0.0914315311572763,0.419938130056878,0.0883360500647838
"Maize_acres",0.00637508689850527,0.248895049603922,0.653396528702182,1,0.440516734758232,0.144362471089961,0.0370748279798722,0.204087499553016,0.0437296544460796
"Own_a_Solar_Light",0.0184931680363827,0.442904928506414,0.855554976225493,0.440516734758232,1,0.328102462304948,0.135550072566552,0.314963662720081,0.133330205307064
"Number_of_Bags_in_Storage_2012",0.0151352020698131,0.249871688121478,0.38464811500533,0.144362471089961,0.328102462304948,1,0.111405493490621,0.82285460967089,0.0976702008448374
"Amount_of_Money_in_Savings_2012",-0.01011819264208,-0.0531824592808272,0.0914315311572763,0.0370748279798722,0.135550072566552,0.111405493490621,1,0.0834266176036126,0.876556006203866
"Number_of_Bags_in_Storage_2013",0.292984019474844,0.237203855005296,0.419938130056878,0.204087499553016,0.314963662720081,0.82285460967089,0.0834266176036126,1,0.113471934256382
"Amount_of_Money_in_Savings_2013",0.127837781453594,-0.0331221212058327,0.0883360500647838,0.0437296544460796,0.133330205307064,0.0976702008448374,0.876556006203866,0.113471934256382,1
